"[31.8160381, -99.5120986]",Texas,2019-12-04 17:07:22,Vickster⭐⭐⭐ 🇺🇸,b'RT @MichaelMAGAUSN: \xe2\x80\x9cChairman Schiff and the Democrats utterly failed to produce ANY EVIDENCE of wrongdoing by President\xc2\xa0Trump. This report\xe2\x80\xa6'
"[14.5906216, 120.9799696]","Manila, Philippines",2019-12-04 17:07:22,Isa-Teresa,b'\xf0\x9f\xa4\xa3 \nWorld Leaders Were Caught On Video Apparently Mocking Trump At The NATO Summit https://t.co/4EERuLQDGC'
"[35.8376958, 128.5575166]",the world,2019-12-04 17:07:22,Fresh E. Chelle,"b'@tedlieu @POTUS Nope, good for her exercising her free will. Trump and Melania have not earned her respect.'"
"[37.1232245, -78.4927721]",Virginia,2019-12-04 17:07:22,Sujatha Hampton,"b'RT @JudyWoodruff: ""the Constitution only cares about whether we have free elections...it doesn\'t care whether President Trump or any of the\xe2\x80\xa6'"
"[40.0757384, -74.4041622]","New Jersey, USA",2019-12-04 17:07:22,Jazzey1,b'RT @DeanObeidallah: Trump supporters keep claiming I want trump impeached and removed because I hate him. Actually I want trump impeached a\xe2\x80\xa6'
"[37.1232245, -78.4927721]",Virginia,2019-12-04 17:07:22,Celtic Warrior,b'RT @CCM1956: Spartacus is upset that Harris is out and says it was due to her skin color-NO IT WAS NOT-she lacked the qualifications to be\xe2\x80\xa6'
"[-1.2832533, 36.8172449]","Nairobi, Kenya",2019-12-04 17:07:22,Nelson Kimaiga,b'RT @AJEnglish: NATO leaders appear to mock Trump at a Buckingham Palace reception. https://t.co/QvoIzKHh9h'
"[39.7837304, -100.4458825]",USA,2019-12-04 17:07:22,Guns&Sandwitches,"b'RT @RadioFreeTom: This will seem strange coming from me, but having a group of professors explain why Trump is impeachable does not add ver\xe2\x80\xa6'"
"[-33.8548157, 151.2164539]",Sydney Australia,2019-12-04 17:07:22,#Rodii,b'RT @GabeHoffman3: That was actually a pretty slick burn for them to show the clip of Donald Trump declaring he can do whatever he wants as\xe2\x80\xa6'
"[39.9527237, -75.1635262]","Philadelphia, PA",2019-12-04 17:07:22,Mindy Bogue 🗽,"b'RT @girlsreallyrule: Prof. Pamela Karlan: ""The Constitution of the U.S. does not care whether the next president of the U.S. is Donald J. T\xe2\x80\xa6'"
"[51.120751, -114.010572342962]",yyc las,2019-12-04 17:07:22,Denise Henwood,"b'RT @HeidiNBC: All 4 const. law experts, even Turley, agree impeachment does NOT require a ""statutory crime.""\n\nEisen also cites Turley\'s rec\xe2\x80\xa6'"
"[36.7014631, -118.7559974]","California, USA",2019-12-04 17:07:22,Ann,b'RT @MrX_: @MagaGlam @HLAurora63 @realDonaldTrump She can quack like a duck over there all she wants. Trump is the final decision on that de\xe2\x80\xa6'
